date,price_usd,phase,cycle,bull_monthly,bear_drop_total,r_avg_total
2031-05-01,93341.35,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2031-06-01,98533.95,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2031-07-01,104015.41,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2031-08-01,109801.8,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2031-09-01,115910.09,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2031-10-01,122358.19,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2031-11-01,129165.0,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2031-12-01,136350.47,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2032-01-01,143935.67,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2032-02-01,151942.83,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2032-03-01,160395.44,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2032-04-01,169318.26,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2032-05-01,178737.47,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2032-06-01,188680.66,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2032-07-01,199177.0,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2032-08-01,210257.25,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2032-09-01,221953.89,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2032-10-01,234301.22,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2032-11-01,247335.44,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2032-12-01,261094.75,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2033-01-01,275619.5,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2033-02-01,290952.25,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2033-03-01,307137.98,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2033-04-01,324224.11,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2033-05-01,342260.75,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2033-06-01,361300.78,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2033-07-01,381400.0,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2033-08-01,402617.34,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2033-09-01,425015.01,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2033-10-01,448658.67,Bull,6,0.055630166196008135,0.77,0.010035195753262423
2033-11-01,396941.69,Bear,7,0.0501158661880825,0.77,0.006075512258559065
2033-12-01,351186.14,Bear,7,0.0501158661880825,0.77,0.006075512258559065
2034-01-01,310704.84,Bear,7,0.0501158661880825,0.77,0.006075512258559065
2034-02-01,274889.83,Bear,7,0.0501158661880825,0.77,0.006075512258559065
2034-03-01,243203.23,Bear,7,0.0501158661880825,0.77,0.006075512258559065
2034-04-01,215169.14,Bear,7,0.0501158661880825,0.77,0.006075512258559065
2034-05-01,190366.55,Bear,7,0.0501158661880825,0.77,0.006075512258559065
2034-06-01,168422.96,Bear,7,0.0501158661880825,0.77,0.006075512258559065
2034-07-01,149008.81,Bear,7,0.0501158661880825,0.77,0.006075512258559065
2034-08-01,131832.53,Bear,7,0.0501158661880825,0.77,0.006075512258559065
2034-09-01,116636.17,Bear,7,0.0501158661880825,0.77,0.006075512258559065
2034-10-01,103191.49,Bear,7,0.0501158661880825,0.77,0.006075512258559065
2034-11-01,108363.03,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2034-12-01,113793.73,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2035-01-01,119496.6,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2035-02-01,125485.28,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2035-03-01,131774.08,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2035-04-01,138378.06,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2035-05-01,145312.99,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2035-06-01,152595.48,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2035-07-01,160242.93,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2035-08-01,168273.65,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2035-09-01,176706.83,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2035-10-01,185562.64,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2035-11-01,194862.27,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2035-12-01,204627.96,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2036-01-01,214883.07,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2036-02-01,225652.12,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2036-03-01,236960.88,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2036-04-01,248836.37,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2036-05-01,261307.03,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2036-06-01,274402.65,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2036-07-01,288154.58,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2036-08-01,302595.7,Bull,7,0.0501158661880825,0.77,0.006075512258559065
2036-09-01,317760.54,Bull,7,0.0501158661880825,0.77,0.006075512258559065
